	region1	region2	chrom1	start1	end1	chrom2	start2	end2	contact_pair	dist_from_diag	pixel_size	gene1	gene2
345	('chr5', 73220000, 73240000)	('chr5', 154455000, 154505000)	chr5	73220000	73240000	chr5	154455000	154505000	(('chr5', 73220000, 73240000), ('chr5', 154455000, 154505000))	81250000.0	1000000000	AC116345.1	HAND1,AC026688.2
346	('chr1', 44410000, 44420000)	('chr1', 200030000, 200040000)	chr1	44410000	44420000	chr1	200030000	200040000	(('chr1', 44410000, 44420000), ('chr1', 200030000, 200040000))	155620000.0	100000000	RNF220	NR5A2,RNU6-570P
347	('chr6', 50820000, 50850000)	('chr6', 84730000, 84780000)	chr6	50820000	50850000	chr6	84730000	84780000	(('chr6', 50820000, 50850000), ('chr6', 84730000, 84780000))	33920000.0	1500000000	TFAP2B	TBX18
348	('chr7', 20760000, 20800000)	('chr7', 155360000, 155390000)	chr7	20760000	20800000	chr7	155360000	155390000	(('chr7', 20760000, 20800000), ('chr7', 155360000, 155390000))	134595000.0	1200000000	SP8	BLACE,LOC100286906
349	('chr7', 27080000, 27260000)	('chr7', 129780000, 129790000)	chr7	27080000	27260000	chr7	129780000	129790000	(('chr7', 27080000, 27260000), ('chr7', 129780000, 129790000))	102615000.0	1800000000	HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,HOXA13,RF01975,HOTAIRM1,RF01976,RF01979,HOXA-AS2,HOXA-AS3,AC004080.6,AC004080.5,AC004080.4,HOXA10-AS,AC004080.3,HOXA11-AS,RF02142,AC004080.2,RF02040,HOTTIP,RF02043	MIR96,MIR182,AC084864.1
350	('chr5', 55150000, 55190000)	('chr5', 174700000, 174750000)	chr5	55150000	55190000	chr5	174700000	174750000	(('chr5', 55150000, 55190000), ('chr5', 174700000, 174750000))	119555000.0	2000000000	GPX8,CDC20B,MIR449A	MSX2
351	('chr2', 19350000, 19360000)	('chr2', 118218000, 118228000)	chr2	19350000	19360000	chr2	118218000	118228000	(('chr2', 19350000, 19360000), ('chr2', 118218000, 118228000))	98868000.0	100000000	OSR1	THORLNC
352	('chr1', 90710000, 90735000)	('chr1', 165350000, 165360000)	chr1	90710000	90735000	chr1	165350000	165360000	(('chr1', 90710000, 90735000), ('chr1', 165350000, 165360000))	74632500.0	250000000	BARHL2	LMX1A
353	('chr13', 27910000, 27990000)	('chr13', 94690000, 94730000)	chr13	27910000	27990000	chr13	94690000	94730000	(('chr13', 27910000, 27990000), ('chr13', 94690000, 94730000))	66760000.0	3200000000	CDX2,PDX1,PLUT,ATP5F1EP2,LINC00543,RN7SL272P	SOX21,SOX21-AS1
354	('chr1', 18630000, 18640000)	('chr1', 180230000, 180240000)	chr1	18630000	18640000	chr1	180230000	180240000	(('chr1', 18630000, 18640000), ('chr1', 180230000, 180240000))	161600000.0	100000000	PAX7	LHX4
355	('chr4', 8830000, 8910000)	('chr4', 174180000, 174230000)	chr4	8830000	8910000	chr4	174180000	174230000	(('chr4', 8830000, 8910000), ('chr4', 174180000, 174230000))	165335000.0	4000000000	HMX1	LINC02268
357	('chr5', 73220000, 73240000)	('chr5', 173220000, 173260000)	chr5	73220000	73240000	chr5	173220000	173260000	(('chr5', 73220000, 73240000), ('chr5', 173220000, 173260000))	100010000.0	800000000	AC116345.1	NKX2-5
358	('chr2', 44930000, 44940000)	('chr2', 118830000, 118840000)	chr2	44930000	44940000	chr2	118830000	118840000	(('chr2', 44930000, 44940000), ('chr2', 118830000, 118840000))	73900000.0	100000000	SIX3,SIX3-AS1,LINC01833	EN1,LINC01956
359	('chr7', 23450000, 23480000)	('chr7', 35230000, 35260000)	chr7	23450000	23480000	chr7	35230000	35260000	(('chr7', 23450000, 23480000), ('chr7', 35230000, 35260000))	11780000.0	900000000	IGF2BP3	TBX20,AC009531.1
360	('chr2', 5690000, 5700000)	('chr2', 66430000, 66440000)	chr2	5690000	5700000	chr2	66430000	66440000	(('chr2', 5690000, 5700000), ('chr2', 66430000, 66440000))	60740000.0	100000000	SOX11	MEIS1
361	('chr10', 49610000, 49620000)	('chr10', 117530000, 117560000)	chr10	49610000	49620000	chr10	117530000	117560000	(('chr10', 49610000, 49620000), ('chr10', 117530000, 117560000))	67930000.0	300000000	SLC18A3	EMX2,EMX2OS
362	('chr4', 8830000, 8910000)	('chr4', 80185000, 80220000)	chr4	8830000	8910000	chr4	80185000	80220000	(('chr4', 8830000, 8910000), ('chr4', 80185000, 80220000))	71332500.0	2800000000	HMX1	PRDM8
363	('chr6', 26230000, 26330000)	('chr6', 99570000, 99630000)	chr6	26230000	26330000	chr6	99570000	99630000	(('chr6', 26230000, 26330000), ('chr6', 99570000, 99630000))	73320000.0	6000000000	HIST1H1D,HIST1H4F,HIST1H4G,HIST1H3F,HIST1H2BH,HIST1H3G,HIST1H2BI,HIST1H4H	CCNC,PRDM13,AL137784.2,AL137784.1,AL137784.3
364	('chr1', 18630000, 18640000)	('chr1', 50415000, 50430000)	chr1	18630000	18640000	chr1	50415000	50430000	(('chr1', 18630000, 18640000), ('chr1', 50415000, 50430000))	31787500.0	150000000	PAX7	DMRTA2,AL049637.2
365	('chr7', 19090000, 19150000)	('chr7', 25840000, 25870000)	chr7	19090000	19150000	chr7	25840000	25870000	(('chr7', 19090000, 19150000), ('chr7', 25840000, 25870000))	6735000.0	1800000000	TWIST1,FERD3L,AC003986.1.AC003986.2,AC003986.3	-
366	('chr1', 47430000, 47440000)	('chr1', 63320000, 63330000)	chr1	47430000	47440000	chr1	63320000	63330000	(('chr1', 47430000, 47440000), ('chr1', 63320000, 63330000))	15890000.0	100000000	FOXD2,FOXD2-AS1	FOXD3,FOXD3-AS1,MIR6068
368	('chr3', 138930000, 138950000)	('chr3', 147360000, 147420000)	chr3	138930000	138950000	chr3	147360000	147420000	(('chr3', 138930000, 138950000), ('chr3', 147360000, 147420000))	8450000.0	1200000000	FOXL2,FOXL2NB	ZIC1,ZIC4,ZIC4-AS1
369	('chr1', 24930000, 24940000)	('chr1', 44410000, 44420000)	chr1	24930000	24940000	chr1	44410000	44420000	(('chr1', 24930000, 24940000), ('chr1', 44410000, 44420000))	19480000.0	100000000	RUNX3	RNF220
370	('chr8', 71550000, 71560000)	('chr8', 98930000, 98980000)	chr8	71550000	71560000	chr8	98930000	98980000	(('chr8', 71550000, 71560000), ('chr8', 98930000, 98980000))	27400000.0	500000000	TRAPPC2P2	OSR2,STK3
371	('chr6', 1590000, 1630000)	('chr6', 133230000, 133250000)	chr6	1590000	1630000	chr6	133230000	133250000	(('chr6', 1590000, 1630000), ('chr6', 133230000, 133250000))	131630000.0	800000000	FOXC1	EYA4
372	('chr5', 135020000, 135045000)	('chr5', 146310000, 146365000)	chr5	135020000	135045000	chr5	146310000	146365000	(('chr5', 135020000, 135045000), ('chr5', 146310000, 146365000))	11305000.0	1375000000	PITX1,C5orf66,AC008406.3	POU4F3,AC091959.3,AC011396.2
373	('chr7', 15680000, 15690000)	('chr7', 27080000, 27260000)	chr7	15680000	15690000	chr7	27080000	27260000	(('chr7', 15680000, 15690000), ('chr7', 27080000, 27260000))	11485000.0	1800000000	MEOX2	HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,HOXA13,RF01975,HOTAIRM1,RF01976,RF01979,HOXA-AS2,HOXA-AS3,AC004080.6,AC004080.5,AC004080.4,HOXA10-AS,AC004080.3,HOXA11-AS,RF02142,AC004080.2,RF02040,HOTTIP,RF02043
374	('chr1', 47180000, 47250000)	('chr1', 197910000, 197920000)	chr1	47180000	47250000	chr1	197910000	197920000	(('chr1', 47180000, 47250000), ('chr1', 197910000, 197920000))	150700000.0	700000000	TAL1,AL135960.1	LHX9
375	('chr1', 118970000, 119010000)	('chr1', 213980000, 213990000)	chr1	118970000	119010000	chr1	213980000	213990000	(('chr1', 118970000, 119010000), ('chr1', 213980000, 213990000))	94995000.0	400000000	TBX15,AL139420.2	PROX1,AC011700.1
376	('chr2', 70880000, 70890000)	('chr2', 222250000, 222318000)	chr2	70880000	70890000	chr2	222250000	222318000	(('chr2', 70880000, 70890000), ('chr2', 222250000, 222318000))	151399000.0	680000000	VAX2,LINC01143,RF02272	PAX3,CCDC140
377	('chr5', 73290000, 73310000)	('chr5', 173220000, 173260000)	chr5	73290000	73310000	chr5	173220000	173260000	(('chr5', 73290000, 73310000), ('chr5', 173220000, 173260000))	99940000.0	800000000	-	NKX2-5
378	('chr2', 66430000, 66440000)	('chr2', 118830000, 118840000)	chr2	66430000	66440000	chr2	118830000	118840000	(('chr2', 66430000, 66440000), ('chr2', 118830000, 118840000))	52400000.0	100000000	MEIS1	EN1,LINC01956
380	('chr7', 27080000, 27260000)	('chr7', 155440000, 155530000)	chr7	27080000	27260000	chr7	155440000	155530000	(('chr7', 27080000, 27260000), ('chr7', 155440000, 155530000))	128315000.0	16200000000	HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,HOXA13,RF01975,HOTAIRM1,RF01976,RF01979,HOXA-AS2,HOXA-AS3,AC004080.6,AC004080.5,AC004080.4,HOXA10-AS,AC004080.3,HOXA11-AS,RF02142,AC004080.2,RF02040,HOTTIP,RF02043	EN2,CNPY1,AC008060.3,AC008060.2
381	('chr11', 32420000, 32445000)	('chr11', 44290000, 44340000)	chr11	32420000	32445000	chr11	44290000	44340000	(('chr11', 32420000, 32445000), ('chr11', 44290000, 44340000))	11882500.0	1250000000	WT1,WT1-AS	ALX4
382	('chr13', 50110000, 50160000)	('chr13', 94690000, 94730000)	chr13	50110000	50160000	chr13	94690000	94730000	(('chr13', 50110000, 50160000), ('chr13', 94690000, 94730000))	44575000.0	2000000000	DLEU2	SOX21,SOX21-AS1
383	('chr4', 4850000, 4875000)	('chr4', 173490000, 173550000)	chr4	4850000	4875000	chr4	173490000	173550000	(('chr4', 4850000, 4875000), ('chr4', 173490000, 173550000))	168657500.0	1500000000	MSX1,LINC01396	HAND2,HAND2-AS1,SCRG1
384	('chr5', 135020000, 135045000)	('chr5', 159060000, 159110000)	chr5	135020000	135045000	chr5	159060000	159110000	(('chr5', 135020000, 135045000), ('chr5', 159060000, 159110000))	24052500.0	1250000000	PITX1,C5orf66,AC008406.3	EBF1,LINC02202
385	('chr10', 101120000, 101150000)	('chr10', 117110000, 117170000)	chr10	101120000	101150000	chr10	117110000	117170000	(('chr10', 101120000, 101150000), ('chr10', 117110000, 117170000))	16005000.0	1800000000	TLX1,TLX1NB	VAX1,MIR3663
386	('chr1', 180230000, 180240000)	('chr1', 213980000, 213990000)	chr1	180230000	180240000	chr1	213980000	213990000	(('chr1', 180230000, 180240000), ('chr1', 213980000, 213990000))	33750000.0	100000000	LHX4	PROX1,AC011700.1
387	('chr7', 19090000, 19150000)	('chr7', 96980000, 97040000)	chr7	19090000	19150000	chr7	96980000	97040000	(('chr7', 19090000, 19150000), ('chr7', 96980000, 97040000))	77890000.0	3600000000	TWIST1,FERD3L,AC003986.1.AC003986.2,AC003986.3	DLX5,DLX6,DLX6-AS1
388	('chr4', 80185000, 80220000)	('chr4', 173490000, 173550000)	chr4	80185000	80220000	chr4	173490000	173550000	(('chr4', 80185000, 80220000), ('chr4', 173490000, 173550000))	93317500.0	2100000000	PRDM8	HAND2,HAND2-AS1,SCRG1
390	('chr7', 1210000, 1260000)	('chr7', 15680000, 15690000)	chr7	1210000	1260000	chr7	15680000	15690000	(('chr7', 1210000, 1260000), ('chr7', 15680000, 15690000))	14450000.0	500000000	UNCX	MEOX2
391	('chr13', 27370000, 27380000)	('chr13', 52850000, 52860000)	chr13	27370000	27380000	chr13	52850000	52860000	(('chr13', 27370000, 27380000), ('chr13', 52850000, 52860000))	25480000.0	100000000	LINC01079	PCDH8
392	('chr5', 3560000, 3610000)	('chr5', 73430000, 73460000)	chr5	3560000	3610000	chr5	73430000	73460000	(('chr5', 3560000, 3610000), ('chr5', 73430000, 73460000))	69860000.0	1500000000	IRX1	FOXD1,FOXD1-AS1,LINC01385
393	('chr6', 5990000, 6010000)	('chr6', 50820000, 50850000)	chr6	5990000	6010000	chr6	50820000	50850000	(('chr6', 5990000, 6010000), ('chr6', 50820000, 50850000))	44835000.0	600000000	NRN1	TFAP2B
394	('chr7', 19090000, 19150000)	('chr7', 155440000, 155530000)	chr7	19090000	19150000	chr7	155440000	155530000	(('chr7', 19090000, 19150000), ('chr7', 155440000, 155530000))	136365000.0	5400000000	TWIST1,FERD3L,AC003986.1.AC003986.2,AC003986.3	EN2,CNPY1,AC008060.3,AC008060.2
395	('chr5', 50960000, 50970000)	('chr5', 173220000, 173260000)	chr5	50960000	50970000	chr5	173220000	173260000	(('chr5', 50960000, 50970000), ('chr5', 173220000, 173260000))	122275000.0	400000000	LINC02106,AC008808.2,AC008808.1	NKX2-5
396	('chr15', 67810000, 67830000)	('chr15', 76320000, 76360000)	chr15	67810000	67830000	chr15	76320000	76360000	(('chr15', 67810000, 67830000), ('chr15', 76320000, 76360000))	8520000.0	800000000	SKOR1,RNU6-1,AC009292.2	ISL2,ETFA,AC027243.1
397	('chr7', 19090000, 19150000)	('chr7', 122290000, 122320000)	chr7	19090000	19150000	chr7	122290000	122320000	(('chr7', 19090000, 19150000), ('chr7', 122290000, 122320000))	103185000.0	1800000000	TWIST1,FERD3L,AC003986.1.AC003986.2,AC003986.3	FEZF1,FEZF1-AS1
398	('chr2', 5690000, 5700000)	('chr2', 66575000, 66585000)	chr2	5690000	5700000	chr2	66575000	66585000	(('chr2', 5690000, 5700000), ('chr2', 66575000, 66585000))	60885000.0	100000000	SOX11	MEIS1,LINC01798
399	('chr4', 112500000, 112530000)	('chr4', 173490000, 173550000)	chr4	112500000	112530000	chr4	173490000	173550000	(('chr4', 112500000, 112530000), ('chr4', 173490000, 173550000))	61005000.0	1800000000	NEUROG2,AC023886.1	HAND2,HAND2-AS1,SCRG1
400	('chr6', 117250000, 117280000)	('chr6', 133230000, 133250000)	chr6	117250000	117280000	chr6	133230000	133250000	(('chr6', 117250000, 117280000), ('chr6', 133230000, 133250000))	15975000.0	600000000	VGLL2	EYA4
401	('chr16', 49260000, 49310000)	('chr16', 54910000, 54960000)	chr16	49260000	49310000	chr16	54910000	54960000	(('chr16', 49260000, 49310000), ('chr16', 54910000, 54960000))	5650000.0	2500000000	CBLN1,AC007614.2	IRX5,CRNDE,AC106738.2,AC106738.2
402	('chr10', 22320000, 22350000)	('chr10', 129930000, 129980000)	chr10	22320000	22350000	chr10	129930000	129980000	(('chr10', 22320000, 22350000), ('chr10', 129930000, 129980000))	107620000.0	1500000000	SPAG6,AL158211.3	EBF3
403	('chr1', 50415000, 50430000)	('chr1', 92460000, 92500000)	chr1	50415000	50430000	chr1	92460000	92500000	(('chr1', 50415000, 50430000), ('chr1', 92460000, 92500000))	42057500.0	600000000	DMRTA2,AL049637.2	GFI1
404	('chr6', 26230000, 26330000)	('chr6', 133230000, 133250000)	chr6	26230000	26330000	chr6	133230000	133250000	(('chr6', 26230000, 26330000), ('chr6', 133230000, 133250000))	106960000.0	2000000000	HIST1H1D,HIST1H4F,HIST1H4G,HIST1H3F,HIST1H2BH,HIST1H3G,HIST1H2BI,HIST1H4H	EYA4
405	('chr1', 75120000, 75140000)	('chr1', 197910000, 197920000)	chr1	75120000	75140000	chr1	197910000	197920000	(('chr1', 75120000, 75140000), ('chr1', 197910000, 197920000))	122785000.0	200000000	LHX8,AC099786.2,AC099786.3	LHX9
406	('chr2', 72910000, 72920000)	('chr2', 206250000, 206285000)	chr2	72910000	72920000	chr2	206250000	206285000	(('chr2', 72910000, 72920000), ('chr2', 206250000, 206285000))	133352500.0	350000000	EMX1	ZDBF2,HMGN1P6
407	('chr6', 100430000, 100480000)	('chr6', 149910000, 149990000)	chr6	100430000	100480000	chr6	149910000	149990000	(('chr6', 100430000, 100480000), ('chr6', 149910000, 149990000))	49495000.0	4000000000	SIM1	ULBP1,AL355497.1
409	('chr2', 44930000, 44940000)	('chr2', 66430000, 66440000)	chr2	44930000	44940000	chr2	66430000	66440000	(('chr2', 44930000, 44940000), ('chr2', 66430000, 66440000))	21500000.0	100000000	SIX3,SIX3-AS1,LINC01833	MEIS1
410	('chr1', 46480000, 46490000)	('chr1', 220880000, 220890000)	chr1	46480000	46490000	chr1	220880000	220890000	(('chr1', 46480000, 46490000), ('chr1', 220880000, 220890000))	174400000.0	100000000	-	HLX,HLX-AS1
411	('chr4', 13520000, 13550000)	('chr4', 173490000, 173550000)	chr4	13520000	13550000	chr4	173490000	173550000	(('chr4', 13520000, 13550000), ('chr4', 173490000, 173550000))	159985000.0	1800000000	NKX3-2,LINC01097,LINC01096	HAND2,HAND2-AS1,SCRG1
412	('chr2', 66575000, 66585000)	('chr2', 118830000, 118840000)	chr2	66575000	66585000	chr2	118830000	118840000	(('chr2', 66575000, 66585000), ('chr2', 118830000, 118840000))	52255000.0	100000000	MEIS1,LINC01798	EN1,LINC01956
413	('chr2', 66575000, 66585000)	('chr2', 156315000, 156345000)	chr2	66575000	66585000	chr2	156315000	156345000	(('chr2', 66575000, 66585000), ('chr2', 156315000, 156345000))	89750000.0	300000000	MEIS1,LINC01798	NR4A2,AC074099.1
414	('chr5', 42980000, 43050000)	('chr5', 159060000, 159110000)	chr5	42980000	43050000	chr5	159060000	159110000	(('chr5', 42980000, 43050000), ('chr5', 159060000, 159110000))	116070000.0	3500000000	ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3	EBF1,LINC02202
415	('chr2', 5690000, 5700000)	('chr2', 170810000, 170820000)	chr2	5690000	5700000	chr2	170810000	170820000	(('chr2', 5690000, 5700000), ('chr2', 170810000, 170820000))	165120000.0	100000000	SOX11	GAD1,AC007405.2
416	('chr10', 8030000, 8055000)	('chr10', 100720000, 100760000)	chr10	8030000	8055000	chr10	100720000	100760000	(('chr10', 8030000, 8055000), ('chr10', 100720000, 100760000))	92697500.0	1000000000	GATA3,GATA3-AS1	PAX2
417	('chr4', 84475000, 84515000)	('chr4', 174180000, 174230000)	chr4	84475000	84515000	chr4	174180000	174230000	(('chr4', 84475000, 84515000), ('chr4', 174180000, 174230000))	89710000.0	2000000000	NKX6-1	LINC02268
418	('chr5', 2725000, 2790000)	('chr5', 77620000, 77660000)	chr5	2725000	2790000	chr5	77620000	77660000	(('chr5', 2725000, 2790000), ('chr5', 77620000, 77660000))	74882500.0	2600000000	IRX2	OTP,WDR41
419	('chr4', 4850000, 4875000)	('chr4', 84475000, 84515000)	chr4	4850000	4875000	chr4	84475000	84515000	(('chr4', 4850000, 4875000), ('chr4', 84475000, 84515000))	79632500.0	1000000000	MSX1,LINC01396	NKX6-1
420	('chr6', 10370000, 10420000)	('chr6', 106070000, 106102000)	chr6	10370000	10420000	chr6	106070000	106102000	(('chr6', 10370000, 10420000), ('chr6', 106070000, 106102000))	95691000.0	1600000000	TFAP2A,TFAP2A-AS1,TFAP2A-AS2	PRDM1
421	('chr1', 92460000, 92500000)	('chr1', 200030000, 200040000)	chr1	92460000	92500000	chr1	200030000	200040000	(('chr1', 92460000, 92500000), ('chr1', 200030000, 200040000))	107555000.0	400000000	GFI1	NR5A2,RNU6-570P
422	('chr10', 8030000, 8055000)	('chr10', 26200000, 26220000)	chr10	8030000	8055000	chr10	26200000	26220000	(('chr10', 8030000, 8055000), ('chr10', 26200000, 26220000))	18167500.0	500000000	GATA3,GATA3-AS1	GAD2
423	('chr5', 135020000, 135045000)	('chr5', 173320000, 173330000)	chr5	135020000	135045000	chr5	173320000	173330000	(('chr5', 135020000, 135045000), ('chr5', 173320000, 173330000))	38292500.0	250000000	PITX1,C5orf66,AC008406.3	STC2
424	('chr10', 75390000, 75430000)	('chr10', 100720000, 100760000)	chr10	75390000	75430000	chr10	100720000	100760000	(('chr10', 75390000, 75430000), ('chr10', 100720000, 100760000))	25330000.0	1600000000	ZNF503,SPA17P1,AC010997.4,ZNF503-AS2,AC010997.3	PAX2
425	('chr2', 44930000, 44940000)	('chr2', 66575000, 66585000)	chr2	44930000	44940000	chr2	66575000	66585000	(('chr2', 44930000, 44940000), ('chr2', 66575000, 66585000))	21645000.0	100000000	SIX3,SIX3-AS1,LINC01833	MEIS1,LINC01798
426	('chr7', 122290000, 122320000)	('chr7', 155360000, 155390000)	chr7	122290000	122320000	chr7	155360000	155390000	(('chr7', 122290000, 122320000), ('chr7', 155360000, 155390000))	33070000.0	900000000	FEZF1,FEZF1-AS1	BLACE,LOC100286906
427	('chr13', 20120000, 20200000)	('chr13', 27910000, 27990000)	chr13	20120000	20200000	chr13	27910000	27990000	(('chr13', 20120000, 20200000), ('chr13', 27910000, 27990000))	7790000.0	6400000000	GJA3,GJB2,GJB6,PPIAP28,LINC00556,AL138688.1	CDX2,PDX1,PLUT,ATP5F1EP2,LINC00543,RN7SL272P
428	('chr6', 100430000, 100480000)	('chr6', 137460000, 137510000)	chr6	100430000	100480000	chr6	137460000	137510000	(('chr6', 100430000, 100480000), ('chr6', 137460000, 137510000))	37030000.0	2500000000	SIM1	OLIG3
429	('chr2', 72140000, 72150000)	('chr2', 161410000, 161430000)	chr2	72140000	72150000	chr2	161410000	161430000	(('chr2', 72140000, 72150000), ('chr2', 161410000, 161430000))	89275000.0	200000000	CYP26B1	TBR1
430	('chr2', 172075000, 172115000)	('chr2', 218990000, 219000000)	chr2	172075000	172115000	chr2	218990000	219000000	(('chr2', 172075000, 172115000), ('chr2', 218990000, 219000000))	46900000.0	400000000	DLX1,DLX2	CRYBA2
431	('chr2', 66430000, 66440000)	('chr2', 176060000, 176170000)	chr2	66430000	66440000	chr2	176060000	176170000	(('chr2', 66430000, 66440000), ('chr2', 176060000, 176170000))	109680000.0	1100000000	MEIS1	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
432	('chr5', 1860000, 1900000)	('chr5', 146310000, 146365000)	chr5	1860000	1900000	chr5	146310000	146365000	(('chr5', 1860000, 1900000), ('chr5', 146310000, 146365000))	144457500.0	2200000000	IRX4	POU4F3,AC091959.3,AC011396.2
433	('chr2', 74455000, 74465000)	('chr2', 156315000, 156345000)	chr2	74455000	74465000	chr2	156315000	156345000	(('chr2', 74455000, 74465000), ('chr2', 156315000, 156345000))	81870000.0	300000000	INO80B,WBP1,MOGS	NR4A2,AC074099.1
434	('chr6', 1590000, 1630000)	('chr6', 137460000, 137510000)	chr6	1590000	1630000	chr6	137460000	137510000	(('chr6', 1590000, 1630000), ('chr6', 137460000, 137510000))	135875000.0	2000000000	FOXC1	OLIG3
435	('chr2', 66575000, 66585000)	('chr2', 181680000, 181690000)	chr2	66575000	66585000	chr2	181680000	181690000	(('chr2', 66575000, 66585000), ('chr2', 181680000, 181690000))	115105000.0	100000000	MEIS1,LINC01798	CERKL,NEUROD1
436	('chr2', 118218000, 118228000)	('chr2', 181680000, 181690000)	chr2	118218000	118228000	chr2	181680000	181690000	(('chr2', 118218000, 118228000), ('chr2', 181680000, 181690000))	63462000.0	100000000	THORLNC	CERKL,NEUROD1
437	('chr1', 63320000, 63330000)	('chr1', 92460000, 92500000)	chr1	63320000	63330000	chr1	92460000	92500000	(('chr1', 63320000, 63330000), ('chr1', 92460000, 92500000))	29155000.0	400000000	FOXD3,FOXD3-AS1,MIR6068	GFI1
438	('chr6', 84730000, 84780000)	('chr6', 106070000, 106102000)	chr6	84730000	84780000	chr6	106070000	106102000	(('chr6', 84730000, 84780000), ('chr6', 106070000, 106102000))	21331000.0	1600000000	TBX18	PRDM1
439	('chr7', 15680000, 15690000)	('chr7', 19090000, 19150000)	chr7	15680000	15690000	chr7	19090000	19150000	(('chr7', 15680000, 15690000), ('chr7', 19090000, 19150000))	3435000.0	600000000	MEOX2	TWIST1,FERD3L,AC003986.1.AC003986.2,AC003986.3
440	('chr6', 99570000, 99630000)	('chr6', 149910000, 149990000)	chr6	99570000	99630000	chr6	149910000	149990000	(('chr6', 99570000, 99630000), ('chr6', 149910000, 149990000))	50350000.0	4800000000	CCNC,PRDM13,AL137784.2,AL137784.1,AL137784.3	ULBP1,AL355497.1
441	('chr1', 18630000, 18640000)	('chr1', 47430000, 47440000)	chr1	18630000	18640000	chr1	47430000	47440000	(('chr1', 18630000, 18640000), ('chr1', 47430000, 47440000))	28800000.0	100000000	PAX7	FOXD2,FOXD2-AS1
442	('chr13', 78570000, 78615000)	('chr13', 112050000, 112090000)	chr13	78570000	78615000	chr13	112050000	112090000	(('chr13', 78570000, 78615000), ('chr13', 112050000, 112090000))	33477500.0	1800000000	POU4F1,RNF219-AS1	SOX1
443	('chr2', 156315000, 156345000)	('chr2', 170350000, 170360000)	chr2	156315000	156345000	chr2	170350000	170360000	(('chr2', 156315000, 156345000), ('chr2', 170350000, 170360000))	14025000.0	300000000	NR4A2,AC074099.1	MYO3B,AC012594.1
444	('chr3', 137760000, 137770000)	('chr3', 181695000, 181730000)	chr3	137760000	137770000	chr3	181695000	181730000	(('chr3', 137760000, 137770000), ('chr3', 181695000, 181730000))	43947500.0	350000000	SOX14	SOX2,RF01954,SOX2-OT
445	('chr6', 1590000, 1630000)	('chr6', 27260000, 27300000)	chr6	1590000	1630000	chr6	27260000	27300000	(('chr6', 1590000, 1630000), ('chr6', 27260000, 27300000))	25670000.0	1600000000	FOXC1	AL021808.1
446	('chr5', 42980000, 43050000)	('chr5', 173320000, 173330000)	chr5	42980000	43050000	chr5	173320000	173330000	(('chr5', 42980000, 43050000), ('chr5', 173320000, 173330000))	130310000.0	700000000	ANXA2R,AC025171.5,AC025171.2,AC008875.1,AC025171.1,AC025171.3	STC2
447	('chr7', 1210000, 1260000)	('chr7', 155360000, 155390000)	chr7	1210000	1260000	chr7	155360000	155390000	(('chr7', 1210000, 1260000), ('chr7', 155360000, 155390000))	154140000.0	1500000000	UNCX	BLACE,LOC100286906
449	('chr3', 27710000, 27720000)	('chr3', 138930000, 138950000)	chr3	27710000	27720000	chr3	138930000	138950000	(('chr3', 27710000, 27720000), ('chr3', 138930000, 138950000))	111225000.0	200000000	EOMES,LINC02084	FOXL2,FOXL2NB
450	('chr6', 5990000, 6010000)	('chr6', 108100000, 108180000)	chr6	5990000	6010000	chr6	108100000	108180000	(('chr6', 5990000, 6010000), ('chr6', 108100000, 108180000))	102140000.0	1600000000	NRN1	OSTM1,ASTM1-AS1,NR2E1
451	('chr1', 24930000, 24940000)	('chr1', 180230000, 180240000)	chr1	24930000	24940000	chr1	180230000	180240000	(('chr1', 24930000, 24940000), ('chr1', 180230000, 180240000))	155300000.0	100000000	RUNX3	LHX4
452	('chr4', 93820000, 93830000)	('chr4', 146615000, 146665000)	chr4	93820000	93830000	chr4	146615000	146665000	(('chr4', 93820000, 93830000), ('chr4', 146615000, 146665000))	52815000.0	500000000	ATOH1	POU4F2
453	('chr1', 44410000, 44420000)	('chr1', 47710000, 47720000)	chr1	44410000	44420000	chr1	47710000	47720000	(('chr1', 44410000, 44420000), ('chr1', 47710000, 47720000))	3300000.0	100000000	RNF220	-
454	('chr1', 50415000, 50430000)	('chr1', 75120000, 75140000)	chr1	50415000	50430000	chr1	75120000	75140000	(('chr1', 50415000, 50430000), ('chr1', 75120000, 75140000))	24707500.0	300000000	DMRTA2,AL049637.2	LHX8,AC099786.2,AC099786.3
455	('chr6', 50820000, 50850000)	('chr6', 106070000, 106102000)	chr6	50820000	50850000	chr6	106070000	106102000	(('chr6', 50820000, 50850000), ('chr6', 106070000, 106102000))	55251000.0	960000000	TFAP2B	PRDM1
